card_code,store_name,store_address
02FL1311,HERBAL ROOTS LLC,"16457 SE MAIN ST, BLOUNTSTOWN, FL 32424"
02FL1396,SPROUTS FARMERS MKT #653,"1800 NE PINE ISLAND RD, CAPE CORAL, FL 33909"
02FL1401,PEGGYS NATURAL FOODS,"10471 SE FEDERAL HWY, HOBE SOUND, FL 33455"
02FL1665,SAV-A-LOT NUTRITION CENTERS,"3105 N STATE RD 7, MARGATE, FL 33063"
02FL1868,SPROUTS FARMERS MKT #638,"12690 SW 88TH STREET, MIAMI, FL 33186"
02FL1908,SUPER VALUE NUTRIT CTR,"5842 BEE RIDGE RD, SARASOTA, FL 34233"
02FL1997A,SUPER VALUE,"2300 BEE RIDGE RD #206, SARASOTA, FL 34239"
02FL2022,NATIVE SUN NATURAL FDS STORE 3,"1585 3RD ST N, JACKSONVILLE BEACH, FL 32250"
02FL2032,SPROUTS FARMERS MKT #634,"7603 TURKEY LAKE RD STE 101, ORLANDO, FL 32819"
02FL2070,SPROUTS FARMERS MKT #622,"8840 STRENGTH AVE, NEW PORT RICHEY, FL 34655"
02FL2144,FLORIDA HEALTH FOODS,"7648 LEM TURNER RD, JACKSONVILLE, FL 32208"
02FL2144,FLORIDA HEALTH FOODS,"7648 LEM TURNER ROAD, JACKSONVILLE, FL 32208"
02FL2169,HEATHS NATURAL FOODS,"600 E THIRD AVE, NEW SMYRNA BCH, FL 32169"
02FL2179,EARTH ORIGINS #17,"MURDOCK CARROSEL SHPPG CTR, PT CHARLOTTE, FL 33948"
02FL2179,EARTH ORIGINS MARKET,"2000 TAMIAMI TRIAL #220, PORT CHARLOTTE, FL 33948"
02FL21962,ST CLOUD HEALTH FOODS,"4042 13TH ST, ST CLOUD, FL 34769"
02FL21962,ST. CLOUD HEALTH FOOD,"4042 13TH ST, SAINT CLOUD, FL 34769-6774"
02FL21962,ST CLOUD HEALTH FOODS  CW,"4042 13th Street, Saint Cloud, FL 34769"
02FL2222,NUTRITION WORLD,"466 SW PORT ST LUCIE BLVD STE 113, PORT SAINT LUCIE, FL 34953"
02FL2234,HUFFMANS HERITAGE WHOLE FOODS,"430 SE KINGS BAY DR, CRYSTAL RIVER, FL 34429"
02FL2246,SPROUTS FARMERS MKT #627,"12675 BEACH BLVD STE, JACKSONVILLE, FL 32246"
02FL2290,FOOD HIVE HEALTH,"ATTN: BILLY   SPARTAN   #, MIAMI, FL 33166"
02FL2323,GATOR NUTRITION,"2412 COMMERCIAL WAY, SPRING HILL, FL 34606"
02FL2325,NATURES HEALTH FOODS,"301 S PARSONS AVE, BRANDON, FL 33511"
02FL2383,ORGANIC FOOD CENTER,"862 NORTH HIWAY A1A, INDIALANTIC, FL 32903"
02FL2666,M & M VITAMINS LLC,"118 MIDDLE ST STE 1000, LAKE MARY, FL 32746"
02FL2667,COMMUNITY CO-OP MKT,"1235 APALACHEE PKWY, TALLAHASSEE, FL 32301"
02FL2726,THE HEALTH BASKET,"2549 COUNTRY CLUB RD, EUSTIS, FL 32726"
02FL2746,CHAMBERLINS -LAKE MARY,"3005 W LAKE MARY BLVD STE 124, LAKE MARY, FL 32746"
02FL2818,A TO ZINC NUTRITION,"12130 US HWY 19, HUDSON, FL 34667"
02FL2818,A TO ZINC NUTRITIONAL SHOP,"12130 US HIGHWAY 19, HUDSON, FL 34667"
02FL2887,VITACOST.COM - KY,"4700 EXCHANGE CT, BOCA RATON, FL 33431"
02FL2887,VITACOST.COM -NC,"4700 EXCHANGE CT, BOCA RATON, FL 33431"
02FL2887,VITACOST.COM -NV,"4700 EXCHANGE CT, BOCA RATON, FL 33431"
02FL2900B,GULF COAST NUTRITION,"2906 ALT 19, PALM HARBOR, FL 34683"
02FL2925,SPROUTS FARMERS MKT #650,"330 BUENA VISTA BLVD, THE VILLAGES, FL 32162"
02FL3025,SPROUTS FARMERS MKT #626,"12216 MIRAMAR PKWY, MIRAMAR, FL 33025"
02FL3133,SPROUTS FARMERS MKT #656,"2750 SW 27TH TER STE 102, COCONUT GROVE, FL 33133"
02FL3290,SPROUTS FARMERS MKT #657,"4460 HOLLYWOOD BLVD, MELBOURNE, FL 32904"
02FL3316,PLUM MARKET AVT,"17801 BISCAYNE BLVD, NORTH MIAMI BEACH, FL 33160"
02FL3330,GNC #7008,"1455 SR 436, CASSELBERRY, FL 32707"
02FL3360,BEEHIVE NATURAL FOODS,"6490 SW 40TH ST, MIAMI, FL 33155"
02FL3440,SPROUTS FARMERS MKT #623,"12960 S US HWY 301, RIVERVIEW, FL 33578"
02FL3440,SPROUTS FARMERS MKT #623,"12960 S US HWY 301, POINCIANA, FL 34758"
02FL3447A,EARTH ARE #562,"P O BOX 16947, ASHEVILLE, NC 28816"
02FL3447A,EARTH FARE #562,"P O BOX 16947, ASHEVILLE, NC 28816"
02FL3511,SPROUTS FARMERS MKT #635,"11339 CAUSEWAY BLVD, BRANDON, FL 33511"
02FL3596,SPROUTS FARMERS MKT #613,"3315 LITHIA PINECREST RD, VALRICO, FL 33596"
02FL3598,NUTRITION WORLD,"101 N US HIGHWAY 1, FORT PIERCE, FL 34950"
02FL3606,ALTERNATIVE HEALTH FOOD STORE,"5533 HIGHWAY 90, MILTON, FL 32571"
02FL3618,SPROUTS FARMERS MKT #612,"15110 N DALE MABRY HWY, TAMPA, FL 33618"
02FL3629,SPROUTS FARMERS MKT #610,"1523 S DALE MABRY HWY, TAMPA, FL 33629"
02FL3632,SPROUTS FARMERS MKT #619,"930 S FEDERAL HWY, DEERFIELD BEACH, FL 33441"
02FL3647,SPROUTS FARMERS MKT #630,"8620 HUNTERS VILLAGE RD, TAMPA, FL 33647"
02FL3663A,HEALTHY LIVING,"179 S. LAWRENCE BLVD., KEYSTONE HGHTS, FL 32656"
02FL3663A,HEALTHY LIVING 4U,"179 S LAWRENCE BLVD, KEYSTONE HTS, FL 32656"
02FL36703,NATURES FOOD PATCH,"1225 CLEVELAND ST, CLEARWATER, FL 33755"
02FL3700,EARTH ORIGINS #14,"1279 BENEVA RD SOUTH, SARASOTA, FL 34232"
02FL3790,COUNTRY MEADOWS HLTH FDS,"405 N BAY STREET, EUSTIS, FL 32726"
02FL3824,SPROUTS FARMERS MKT #611,"33650 US HIGHWAY 19N, PALM HARBOR, FL 34684"
02FL3918,SPROUTS FARMERS MARKET #648,"9831 GLADES RD, BOCA RATON, FL 33434"
02FL3918,SPROUTS FARMERS MKT #648,"9831 GLADES RD, BOCA RATON, FL 33434"
02FL3948,SPROUTS FARMERS MKT #658,"2000 TAMIAMI TRL UNIT 224, PORT CHARLOTTE, FL 33948"
02FL3991,WAYNETTE WILLIAMS,"5589 NW 72ND AVE, MIAMI, FL 33166"
02FL4062,SPROUTS FARMERS MKT #625,"3757A MILITARY TRAIL, JUPITER, FL 33458"
02FL4207,SPROUTS FARMERS MKT #645,"1149 CORTEZ RD W, BRADENTON, FL 34207"
02FL4207A,CLAMAR'S HOLISTIC HEALTH CENTR,"7185 NW 87TH AVE, MIAMI, FL 33178"
02FL4223,REID'S NUTRITION CTR. INC.,"1833 ENGLEWOOD RD, ENGLEWOOD, FL 34223"
02FL4238,SPROUTS FARMERS MKT #614,"8330 S TAMIAMI TRAIL, SARASOTA, FL 34238"
02FL4377,NUTRITION WORLD,"2401 PGA BLVD STE 136, PALM BCH GARDNS, FL 33410"
02FL4377,NUTRITION WORLD PALM BEACH,"2401 PGA BLVD.SUITE 136, PALM BEACH GARDENS, FL 33410"
02FL4377,NUTRITION WORLD-PALM BEACH,"2401 PGA BOULEVARD STE #136, WEST PALM BEACH, FL 33410"
02FL4377,NUTRITION WRLD-PALM BEACH,"2401 P.G.A. BLVD STE#136, PALM BEACH GRDN, FL 33410"
02FL4577,B HEALTHY,"8449 SW HIGHWAY 200 STE 139, OCALA, FL 34481-9694"
02FL4690,SPROUTS FARMERS MKT #0651,"12500 LAKE UNDERHILL RD, ORLANDO, FL 32828"
02FL4690,SPROUTS FARMERS MKT #651,"12500 LAKE UNDERHILL RD, ORLANDO, FL 32828"
02FL4848,INSIGHT NUTRITION LLC,"2916 S WASHINGTON AVE ATTN:TIM, TITUSVILLE, FL 32780"
02FL4848,SUNSHINE HEALTH FOODS,"2916 S WASHINGTON AVE, TITUSVILLE, FL 32780"
02FL4951,ABBYS HEALTH AND NUTRITION,"14374 N DALE MABRY, TAMPA, FL 33618"
02FL5086,DISCOUNT HEALTH FOODS,"16501 NE 6TH AVE, N MIAMI BEACH, FL 33162"
02FL5224,EARTH ORIGINS #12,"1237 NW 76TH BLVD, GAINESVILLE, FL 32606"
02FL5224A,EARTH ORIGINS #13,"1917 E SILVER SPGS BLVD, OCALA, FL 34470"
02FL5224A,EARTH ORIGINS,"1917 E SILVER SPRING BLVD, OCALA, FL 34470"
02FL5236,LOVE WHOLE FOODS MARKET,"275 WILLIAMSON BLVD, ORMOND BEACH, FL 32174"
02FL5236,LOVE WHOLE FOODS ORMOND BEACH,"30 GOULD ST, SHERIDAN, WY 82801"
02FL5236,PEGGY'S WHOLE FOODS  CW,"439 S NOVA RD, ORMOND BEACH, FL 32174"
02FL5331,HALES HEALTH FOODS,"16427 N.W. 67TH AVE., MIAMI LAKES, FL 33014"
02FL5331,HALES,"16427 N W 67TH  AVE., MIAMI LAKES, FL 33014"
02FL5353,EVERMANS,"PO BOX 13005, PENSACOLA, FL 32591"
02FL5384,SPROUTS FARMERS MKT #631,"19990 S TAMIAMI TRAIL, ESTERO, FL 33967"
02FL5393,SUNSHINE DISCOUNT VITAMINS,"2608 TAMIAMI TRL N, NAPLES, FL 34103"
02FL5465,SPROUTS FARMERS MKT #640,"1759 NW SAINT LUCIE WEST BLVD, PORT SAINT LUCIE, FL 34986"
02FL5506,SPROUTS FARMERS MKT #649,"2150 E FOWLER AVE, TAMPA, FL 33612"
02FL5511,SUNFLOWER HEALTH FOODS,"3424 W UNIVERSITY AVE, GAINESVILLE, FL 32607"
02FL5561,FEGERS HEALTH FOOD,"3058 TAMIAMI TRAIL, PORT CHARLOTTE, FL 33952"
02FL5561,FEGER'S,"3058 TAMIAMI TRAIL, PORT CHARLOTTE, FL 33952"
02FL5663,HEALTH WAY INC,"1537 US HIGHWAY 1, VERO BEACH, FL 32960"
02FL5663,HEALTHWAY,"1537 US HIGHWAY 1, VERO BEACH, FL 32960"
02FL5678,THE JUNGLE ORGANIC RESTAURANT & MKT,"2500 N HWY A1A, INDIALANTIC, FL 32903"
02FL5682,EARTH ORIGINS,"6651 CENTRAL AVE, ST PETERSBURG, FL 33710"
02FL5682,EARTH ORIGINS MARKET,"6651 CENTRAL AVENUE NORTH, SAINT PETERSBURG, FL 33710"
02FL5682,EARTH ORIGINS MARKET,"6651 CENTRAL AVE, ST PETERSBURG, FL 33710"
02FL5713,SPROUTS FARMERS MKT #646,"2283 E SEMORAN BLVD, APOPKA, FL 32703"
02FL5808,LIFE NATURAL FOODS,"12501 NE 8TH AVE, NORTH MIAMI, FL 33161-4966"
02FL5883,SPROUTS FARMERS MKT #654,"8595 COLLEGE PARKWAY STE 210, FORT MYERS, FL 33919"
02FL5994,SUPER VITAMIN OUTLET,"32752 US 19 NORTH, PALM HARBOR, FL 34684"
02FL6030,SPROUTS FARMERS MKT #655,"4571 66TH ST N, KENNETH CITY, FL 33709"
02FL6040,HEALTHY CHOICE MARKETS 2 LLC,"6300 N WICKHAM RD, MELBOURNE, FL 32940"
02FL6070,SPROUTS FARMERS MKT #621,"1121 ALAFAYA  TRAIL, OVIEDO, FL 32765"
02FL6161,SPROUTS FARMERS MKT #618,"23656 US HIGHWAY 19N, CLEARWATER, FL 33765"
02FL6477,JEFF'S HEALTH & NUTRITION,"731 N. 14TH ST, LEESBURG, FL 34748"
02FL6543,LOVE WHOLE FOODS CAFE & MARKET,"1633 TAYLOR ROAD, PORT ORANGE, FL 32128"
02FL6543,LOVE WHOLE FOODS,"30 GOULD ST, SHERIDAN, WY 82801"
02FL6552,HEALTHFULLY YOURS,"961 SOUTH FEDERAL HWY, STUART, FL 34994"
02FL6552,HEALTHFULLY YOURS     @ CW,"961 SE FEDERAL HWY, STUART, FL 34994"
02FL6552,HEALTHFULLY YOURS    CW,"NUTRITION CENTER, OLD HICKORY, TN 37138"
02FL6825,ROLLIN OATS,"2842 MARTIN LUTHER KING ST N, ST PETERSBURG, FL 33704"
02FL6869,GRASS ROOTS NATURAL MKT,"2007 PARK STREET, JACKSONVILLE, FL 32204"
02FL6878,NATURE'S STOREHOUSE HEALTH,"9131 LITTLE RD, NEW PORT RICHEY, FL 34654"
02FL6950,SPROUTS FARMERS MKT #615,"2224 LOGAN BLVD N, NAPLES, FL 34119"
02FL7002,DEBBIES HEALTH FOOD INC,"862 SAXON BLVD, ORANGE CITY, FL 32763"
02FL7002,DEBBIES HEALTH FOOD,"862 SAXON BLVD, ORANGE CITY, FL 32763"
02FL7047,DEBBIE'S HEALTH FDS III,"3850 S NOVA ROAD, PORT ORANGE, FL 32127"
02FL7211,HEALTHFULLY YOURS CW,"961 SE FEDERAL HWY, STUART, FL 34994"
02FL7222,GRANARY WHOLE FOODS INC,"1738 KINGSLEY AVENUE, ORANGE PARK, FL 32073"
02FL7222,THE GRANARY WHOLEFOODS INC.,"1738 KINGSLEY AVE, ORANGE PARK, FL 32073"
02FL7247,SPROUTS FARMERS MKT #641,"2631 NE 10TH CT, HOMESTEAD, FL 33033"
02FL7333,SEED TO TABLE,"4835 IMMOKALEE ROAD, NAPLES, FL 34110"
02FL7428,ROLLIN OATS MARKET,"1021 N MACDILL AVE, TAMPA, FL 33607"
02FL7482,SUNFLOWER HEALTH FOODS,"3424 W UNIVERSITY AVE, GAINESVILLE, FL 32607"
02FL7553,DELAND BAKERY & NATURAL MARKET,"933 NORTH WOODLAND BLVD, DELAND, FL 32720"
02FL7840,SPROUTS FARMERS MKT #624,"4873 TOWN CENTER PKWY, JACKSONVILLE, FL 32246"
02FL8129,SPROUTS FARMERS MKT #643,"5030 W ATLANTIC AVE, DELRAY BEACH, FL 33484"
02FL8215,SPROUTS FARMERS MKT #633,"10619 SHELDON RD, TAMPA, FL 33626"
02FL8311,HEALTHY CHOICE MKT 2,"6300 N WICKHAM RD STE 132, MELBOURNE, FL 32940"
02FL8392,HEALTHY CHOICE MARKETS 2,"6300 N WICKHAM RD STE 132, MELBOURNE, FL 32940"
02FL8583,PENSACOLA NAT FDS INC,"916 W MICHIGAN AVE STE C, PENSACOLA, FL 32505"
02FL8583,PENSACOLA NATURAL FOODS INC.,"916 W MICHIGAN AVE, PENSACOLA, FL 32505"
02FL8995,FOOD FOR THOUGHT,"315 US HWY 27N, SEBRING, FL 33870"
02FL9009,LIFE EXTENSION NUTRITION,"3600 WEST COMMERCIAL BLVD, FT LAUDERDALE, FL 33309"
02FL9055,SPROUTS FARMERS MKT #628,"7263 SEMINOLE BLVD, SEMINOLE, FL 33772"
02FL9119,SPRING HILL NAT FDS,"11083 SPRING HILL DR, SPRING HILL, FL 34608"
02FL9291,LIVE GREEN -AIR-        3%,"10813 NW 30TH ST STE115, DORAL, FL 33192"
02FL9463,PALMA CEIA VILLAGE HEALTH MARKET,"3225 S MACDILL AVE STE 123, TAMPA, FL 33629"
02FL9500C,NUTRITION SMART OF NEW TAMPA,"1821 BRUCE B DWNS BLVD STE 101, WESLEY CHAPEL, FL 33544"
02FL9600,ADAS NATURAL FOODS,"7070 COLLEGE PKWY #101, FT MEYERS, FL 33907"
02FL9698,SPROUTS FARMERS MKT #629,"3150 SE FEDERAL HWY, STUART, FL 34994"
02FL9798,BROOKSVILLE HEALTH FOODS,"1254 S BROAD ST, BROOKSVILLE, FL 34601"
02FL9978,DIANES NATURAL FOOD MKT,"841 S PONCE DE LEON BLVD STE 6, ST AUGUSTINE, FL 32084"
02GA0024,SPROUTS FARMERS MKT #516,"3630 PEACHTREE PKWY UNIT 99, SUWANEE, GA 30024"
02GA0033,SPROUTS FARMERS MKT #525,"2551 BLACKMON DR, DECATUR, GA 30033"
02GA0040A,SPROUTS FARMERS MKT #515,"530 B LAKELAND PLAZA, CUMMING, GA 30040"
02GA0045,SPROUTS FARMERS MKT #512,"1250 SENIC HWY SUITE 1704, LAWRENCEVILLE, GA 30045"
02GA0061,S&S SMOOTHIES AND SUPPLEMENTS,"38 MERCHANTS WALK UNIT C, BLAIRSVILLE, GA 30512"
02GA0064,SPROUTS FARMERS MKT #526,"3805 DALLAS HWY STE 200, MARIETTA, GA 30064"
02GA0076,SPROUTS FARMERS MKT #520,"10800 ALPHARETTA HWY STE C410, ROSWELL, GA 30076"
02GA0078,GOOD NUTRITION SNELVILLE,"2640 BEAVER RUIN RD, NORCROSS, GA 30071"
02GA0078,GOOD NUTRITION - SNELLVILLE,"2471 B MAIN ST E, SNELLVILLE, GA 30078"
02GA0082,SPROUTS FARMERS MKT #518,"4330 EAST-WEST CONNECTOR, SMYRNA, GA 30082"
02GA0084,SPROUTS FARMERS MKT #527,"4310 LAVISTA RD STE A200, TUCKER, GA 30084"
02GA0092A,NUTRITION DEPOT,"965 DULUTH HWY. #102, LAWRENCEVILLE, GA 30043"
02GA0100,FEELIN GREAT & WELLNESS CTR,"718 MALL BLVD, BRUNSWICK, GA 31525"
02GA0100,FEELING GREAT,"718 MALL BLVD., BRUNSWICK, GA 31525"
02GA0112,CLEAN IT UP FOODS DBA NUTS N BERRIES,"4274 PEACHTREE ROAD, ATLANTA, GA 30319"
02GA0114,TRENTON HEALTH FOOD,"PO BOX 800, TRENTON, GA 30752"
02GA0130,ABECA NATURALS LLC,"1427 WACCAMAW DR, NORTH AUGUSTA, SC 29841"
02GA0220,GOOD NUTRITION WOODSTOCK,"9999 HWY 92, WOODSTOCK, GA 30188"
02GA0263,FAR EAST HERBS,"2375 WESLEY CHAPEL ROAD #10, DECATUR, GA 30035"
02GA0328,GOOD NUTRITION SANDY SPRINGS,"155 HAMMOND DR STE G, ATLANTA, GA 30328"
02GA0355,NUTRITION DEPOT V,"1100 MARKET PLACE BLVD, CUMMING, GA 30041"
02GA0363,HEALTH NUT #2,"3000 OLD ALABAMA RD #122, ALPHARETTA, GA 30022"
02GA0394,ISLAND NATURAL MARKET,"203 LONGVIEW PLAZA, ST SIMONS ISL, GA 31522"
02GA0486,GOOD NUTRITION TOCO HILL,"2855 NORTH DRUID HILLS RD NE, ATLANTA, GA 30329"
02GA0518,HERBOLOGY INC.,"2748 HIGHWAY 155, LOCUST GROVE, GA 30248"
02GA0532,SPROUTS FARMERS MKT #532,"1040 Chen Pkwy, MCDONOUGH, GA 30253"
02GA0532,SPROUTS FARMERS MKT #532,"1040 CHEN PKWY, MCDONOUGH, GA 30253"
02GA0605,SPROUTS FARMERS MKT #519,"1853 PIEDMONT AVE, ATLANTA, GA 30324"
02GA0606,EARTH FARE #300,"PO BOX 16947, ASHEVILLE, NC 28816"
02GA0821,GOLD COAST NUTRITION,"1519 1/2 NEWCASTLE ST, BRUNSWICK, GA 31520"
02GA0907,SPROUTS FARMERS MKT #528,"630 CRANE CREEK DRIVE, AUGUSTA, GA 30907"
02GA0970,MOTHER NATURES MARKET,"3853-E LAWRENCEVILLE HWY, TUCKER, GA 30084"
02GA1252,GOOD NUTRITION GAINESVILLE,"2640 BEAVER RUIN RD STE C, NORCROSS, GA 30071"
02GA1525,CLASSIC SOLUTIONS INC,"2976 HWY 76 STE D, CHATSWORTH, GA 30705"
02GA1566,ACT NATURAL CORP,"695 KINGSBAY RD, SAINT MARYS, GA 31558"
02GA1772,THE HERB SHOP,"11173 TARA BLVD, HAMPTON, GA 30228"
02GA1841,SPROUTS FARMERS MKT #530,"2530 CUMBERLAND BLVD SE, SMYRNA, GA 30080"
02GA1880,HEALTH UNLIMITED,"2968 N DRUID HILLS RD, ATLANTA, GA 30329"
02GA1969,NATURES OWN HERB SHOP,"628 S CENTRAL AVE, HAPEVILLE, GA 30354"
02GA1969,NATURE'S OWN HERB SHOP,"628 S. CENTRAL AVE., HAPEVILLE, GA 30354"
02GA2297,GOOD NUTRITION-TOCO HILLS@,"2640C BEAVER RUIN RD., NORCROSS, GA 30071"
02GA2338,NATURES HEALTH STORE,"54 LUMPKIN CAMPGROUND RD #130, DAWSONVILLE, GA 30534"
02GA2363,GOOD NUTRITION-ROSWELL,"10703 ALPHARETTA HWY, ROSWELL, GA 30076"
02GA2535,THE SHOP BY STEVIE & THE MOON,"12058 SOUTH MAIN ST, TRENTON, GA 30752"
02GA2577,SPROUTS FARMERS MKT #524,"2015 E HWY 54, PEACHTREE CITY, GA 30269"
02GA3003,PRO HEALTH,"2107 JONESBORO RD., MCDONOUGH, GA 30253"
02GA3009,SPROUTS FARMERS MKT #513,"5130 PEACHTREE PKWY SUITE 100, PEACHTREE CORNERS, GA 30092"
02GA3035,HERB SHOP,"6740 SHANNON PKWY, UNION CITY, GA 30291"
02GA3246,HERB SHOP,"225 COMMERCE DR, PEACHTREE CITY, GA 30269"
02GA3670,YVONNE'S NATURAL MARKET,"4123 FORSYTH ROAD STE C, MACON, GA 31210"
02GA3735,HERBS AND MORE,"127 NEWNAN RD        Z-8, CARROLLTON, GA 30117"
02GA4478A,CHEROKEE HERB SHOP,"4 COOSAWATTEE AVE, ROME, GA 30165"
02GA4478A,CHEROKEE HERB SHOP,"4 COOSAWATTEE AVE.SW, ROME, GA 30165"
02GA4703,BRIGHTER DAY,"1102 BULL STREET, SAVANNAH, GA 31401"
02GA5513,GOOD NUTRITION MARIETTA,"1205 JOHNSON FERRY RD #111, MARIETTA, GA 30068"
02GA6023,RIVERDALE HEALTH FOODS,"706 SPRINGDALE DR, RIVERDALE, GA 30274"
02GA6083,ALL IN ONE VITAMINS,"742 GLYNN ST N #D, FAYETTEVILLE, GA 30214"
02GA6528,SPROUTS FARMERS MARKET  #529,"2925 BUFORD DR STE 2400, BUFORD, GA 30519"
02GA6528,SPROUTS FARMERS MKT #529,"2925 BUFORD DR STE 2400, BUFORD, GA 30519"
02GA6677,HEALTH UNLIMITED,"2968 N DRUID HILLS RD NE, ATLANTA, GA 30329-3910"
02GA6922,HEALTH NUT,"974 REBECCA ST, LILBURN, GA 30047"
02GA6922,THE HEALTH NUT,"993 MAIN ST, STONE MOUNTAIN, GA 30083"
02GA7753A,FRUIT VEGGIES & HERBS,"2085 CAMPBELLTON RD, ATLANTA, GA 30311"
02GA7944,SMOOTHIE KING #708,"6681 JONESBORO RD STE 108B, MORROW, GA 30260"
02GA8038,HERB & VITAMIN DEPOT,"5886 WENDY BAGWELL PKWY #403, HIRAM, GA 30141"
02GA8243,JUICES WILD,"4450 NELSON BROGDON BLVD #C-6, SUGAR HILL, GA 30518"
02GA83135,BETTE'S HEALTH AND WELLNESS,"424 W SOLOMON ST, GRIFFIN, GA 30223"
02GA8465,HEALTH PRODUCTS,"1021 E SHOTWELL AVE, BAINBRIDGE, GA 39819"
02GA8805,NEW LIFE NATURAL FOODS,"2825 WASHINGTON RD, SUITE C, AUGUSTA, GA 30909"
02GA8844,GOOD NUTRITION-NORCROSS,"2640 BEAVER RUIN RD UNIT C, NORCROSS, GA 30071"
02GA8844,GOOD NUTRITION-NORCROSS  @,"2640 C BEAVER RUIN ROAD, NORCROSS, GA 30071"
02GA9110,HERBAL PLANET,"2560 N HIGHWAY 42, MC DONOUGH, GA 30253"
02GA9172,SPROUTS FARMERS MKT #521,"4101 ROSWELL RD NE STE 700, MARIETTA, GA 30062"
02GA9306,VITAMART INC,"2509-B PLANT AVE, WAYCROSS, GA 31501"
02GA9306,VITA-MART INC.,"2509 PLANT AVE, WAYCROSS, GA 31501-6086"
02GA9454,H&M HERB AND GIFTS,"1140 BATTLEFIELD PKWY, FT OGLETHORPE, GA 30742"
02GA9717,HERB SHOP,"5762 AUSTELL POWDER SPRINGS RD, AUSTELL, GA 30106"
02GA9717,THE HERB SHOP,"5752 AUSTELL POWDER SPRINGS RD, AUSTELL, GA 30106"
02GA9799,SPROUTS FARMERS MKT #523,"1430 TOWNE LAKE PARKWAY, WOODSTOCK, GA 30189"
02GA9890,GNC #3569,"3695 H CASCADE RD, ATLANTA, GA 30331"
02GA9999,FARMERS NATURAL FOODS,"754 E. G MILES PARKWAY, HINESVILLE, GA 31313"
02HI0017,ISLAND NATURAL KONA INC,"74-5487 KAIWI STREET, KAILUA-KONA, HI 96740"
02HI0022,CELESTIAL NATURAL FOODS,"66-443 KAMEHAMEHA HWY, HALEIWA, HI 96712"
02HI0027,DOWN TO EARTH,"573 KAILUA RD, KAILUA, HI 96734"
02HI0120,HEALTHWAYS 11,"65-1185 MAMALAHOA HWY #F-137, KAMUELA, HI 96743"
02HI0185,SOURCE NATURAL FOODS AND,"785 KEOLU DR, KAILUA OAHU, HI 96734"
02HI0190,LASSENS NATURAL FOODS,"4-901 KUHIO HWY, SUITE D, KAPAA KAUAI, HI 96746"
02HI0501,HAWAIIAN MOONS NAT FDS,"2411 S. KIHEI RD, KIHEI, HI 96753"
02HI0660,SUPLINX,"2295 JEFFERSON STREET, TORRANCE, CA 90501"
02HI2661,DOWN TO EARTH,"305 DAIRY ROAD, KAHULUI, HI 96732"
02HI5533,ISLAND NATURALS MARKET,"1221 KILAUEA AVE STE 170, HILO, HI 96720"
02HI7678,DOWN TO EARTH,"2525 S KING ST STE 100, HONOLULU, HI 96826"
02HI8078,MANA FOODS,"PO BOX 792047, PAIA, HI 96779"
02IA0077,CAMPBELLS NUTRITION CTR,"2749 100TH ST, URBANDALE, IA 50322"
02IA0157,TOWNCREST LTC,"2306 MUSCATINE AVE, IOWA CITY, IA 52240"
02IA0246,TNK HEALTH FOOD STORE   @,"1023 PEOPLES SQUARE, WATERLOO, IA 50702"
02IA0325,NG VITAMIN COTTAGE CI U110,"8650 HICKMAN RD, CLIVE, IA 50325"
02IA1619,HEALTH PLUS,"4501-7 SOUTHERN HILLS DR, SIOUX CITY, IA 51106"
02IA2537,SOLUTIONS BY NATURE,"2665 655TH AVE, ALBIA, IA 52531"
02IA4396,NG VITAMIN COTTAGE DP U139,"3805 E 53RD ST, DAVENPORT, IA 52807"
02IA5224,NG VITAMIN COTTAGE IC U141,"1404 S GILBERT ST, IOWA CITY, IA 52240"
02IA5510,NG VITAMIN COTTAGE CU U132,"5410 UNIVERSITY AVE, CEDAR FALLS, IA 50613"
02IA5799,GREEN ACRES NATURAL FOODS,"805 S MAIN, COUNCIL BLUFFS, IA 51503"
02IA6351,CAMPBELLS NUTRITION CTR,"4040 UNIVERSITY AV STE D, DES MOINES, IA 50311"
02IA7152,NG VITAMIN COTTAGE DQ-U153,"3333 ASBURY ROAD, DUBUQUE, IA 52002"
02IA7152,NG VITAMIN COTTAGE DQ U153,"3333 ASBURY ROAD, DUBUQUE, IA 52002"
02IA7345,HEALTH HUT,"83 16TH AVE SW, CEDAR RAPIDS, IA 52404"
02IA7345A,HEALTH HUT       CW,"83 16TH AVE SW, CEDAR RAPIDS, IA 52404"
02IA7345A,HEALTH HUT      CW,"83 16TH AVE SW, CEDAR RAPIDS, IA 52404"
02IA7993,NG VITAMIN COTTAGE BF U129,"931 BLAIRS FERRY RD NE, CEDAR RAPIDS, IA 52402"
02IA8124,NUTRITION OUTLET,"2114  PARK AVE, MUSCATINE, IA 52761"
02IA8124,NUTRITION OUTLET      CW,"2114 PARK AVE, MUSCATINE, IA 52761"
02IA9405,HEALTHY CONNECTION     CW,"314A AVE EAST, OSKALOOSA, IA 52577"
02IA9405,HEALTHY CONNECTION,"314A AVE EAST, OSKALOOSA, IA 52577"
02IA9990,GREEN FIELDS !       CW,"2920 FALLS AVE, WATERLOO, IA 50701"
02ID0010,STAY WELL HEALTH FOOD,"1563 FILLMORE UNIT 2A, TWIN FALLS, ID 83301"
02ID0099,NORTHWEST HEALTH,"PO BOX 33, ST MARIES, ID 83861"
